,жилая площадь,ремонт,этажей в доме,отделка,количество комнат,площадь кухни,мебель,санузел,высота потолков,парковка,тип дома,"корпус, строение",двор,общая площадь,официальный застройщик,запланирован снос,год постройки,тип участия,грузовой лифт,способ продажи,этаж,срок сдачи,тёплый пол,окна,вид сделки,пассажирский лифт,балкон или лоджия,техника,в доме,название новостройки,тип комнат,position,price
59, 20 м², евро, 16,, 1, 9 м²," кухня, хранение одежды, спальные места", раздельный, 2.7 м, открытая во дворе, монолитный,," закрытая территория, детская площадка, спортивная площадка", 39 м²,,, 2000,,, свободная, 5 из 16,,, на улицу, возможна ипотека, 1, балкон," холодильник, стиральная машина",,,,11,6000000
60,,, 25, без отделки, 3,,,,,, монолитный, дом 4.3,, 45.2 м², ооо «сз «южный парк-4»,,, дду по фз 214,,, 20 из 25, 2 кв. 2025 года,,,,,,,, жк «южный парк», изолированные,1000000,6158969
61, 12 м², евро, 5,, студия,,, совмещенный, 3.4 м,, кирпичный,,, 25 м²,,, 1983,, нет, свободная, 1 из 5,,, во двор,, нет,,,,,,31,2500000
62, 18 м², косметический, 15,, 1, 14.5 м²,,,,, кирпичный,,, 43.1 м²,,,,,, свободная, 7 из 15,,,,,, балкон,,,,,1000000,5100000
63,,, 25, без отделки, 2,,,,,, монолитный, дом 4.3,, 34.9 м², ооо «сз «южный парк-4»,,, дду по фз 214,,, 8 из 25, 2 кв. 2025 года,,,,,,,, жк «южный парк», изолированные,1000000,5049878
64,, евро, 9,, 1, 8 м²,,,,, кирпичный,,, 26.8 м²,,,,,, свободная, 6 из 9,,,, возможна ипотека,,,,,,,31,3800000
65,, требует ремонта, 9,, 2, 9 м²,, раздельный, 2.7 м,, панельный,,, 51 м²,,, 1984,,, свободная, 9 из 9,,,,,, балкон,, мусоропровод,, изолированные,31,4990000
66,, евро, 9,, студия,," кухня, хранение одежды, спальные места", совмещенный,, открытая во дворе, кирпичный,,, 18 м²,,, 1980,,, свободная, 2 из 9,,, во двор, возможна ипотека, 1,," холодильник, стиральная машина", газ,,,16,2699000
67, 31 м², косметический, 5,, 2, 6 м²," кухня, хранение одежды, спальные места", совмещенный,, открытая во дворе, панельный,," детская площадка, спортивная площадка", 49 м²,,, 1968,,, альтернативная, 3 из 5,,, на улицу, возможна ипотека,, балкон, кондиционер, газ,, изолированные,11,4850000
68, 43 м², дизайнерский, 5,, 3, 10 м²,, раздельный,,, монолитный,,, 70 м²,,, 1999,,, свободная, 2 из 5,,," во двор, на улицу", возможна ипотека,, лоджия,,,, изолированные,1000000,6499000
69, 24.6 м², требует ремонта, 4,, 2, 9.8 м²,, совмещенный, 3.2 м, за шлагбаумом во дворе, кирпичный,," закрытая территория, детская площадка", 46.8 м²,,, 1952,,, альтернативная, 2 из 4,,,,,,,, газ,, смежные,6,6700000
70, 36.1 м², евро, 16,, 2, 12 м²,, раздельный,,, панельный,,, 64.6 м²,,, 2010,,, свободная, 3 из 16,,," во двор, на улицу", возможна ипотека, 2, балкон,,,, изолированные,31,6400000
71,, требует ремонта, 10,, студия,,, совмещенный, 4 м,, монолитно-кирпичный,," закрытая территория, детская площадка", 26.6 м²,,, 2019,,, альтернативная, 1 из 10,,,,,,,,,,,11,3350000
72,,, 25, без отделки, 3,,,,,, монолитный, дом 4.3,, 54.7 м², ооо «сз «южный парк-4»,,, дду по фз 214,,, 23 из 25, 2 кв. 2025 года,,,,,,,, жк «южный парк», изолированные,1000000,7397110
73,, евро, 9,, 1, 6 м²,,,,, кирпичный,,, 19 м²,,,,,, свободная, 7 из 9,,,, возможна ипотека,,,,,,,5,2340000
74, 17.8 м², евро, 10,, 1, 13.5 м²,, совмещенный,,, кирпичный,,, 48 м²,,,,,, свободная, 7 из 10,,, на улицу, возможна ипотека, 1, лоджия,,,,,21,6050000
75, 20 м², требует ремонта, 5,, 1, 8 м²,, раздельный,,, кирпичный,,, 37.8 м²,,, 1957,,, свободная, 3 из 5,,,, возможна ипотека,,,, мусоропровод,,,16,4800000
76, 10.2 м², евро, 5,, 1, 10.8 м²,, совмещенный, 2.5 м, открытая во дворе, кирпичный,," детская площадка, спортивная площадка", 22.8 м²,,, 1963,, нет, свободная, 2 из 5,,, на солнечную сторону, возможна ипотека, нет,, водонагреватель,,,,1000000,3500000
77,, дизайнерский, 10,, 1, 10 м²,,,,, монолитный,,, 49 м²,,,,,, свободная, 5 из 10,,,, возможна ипотека,, балкон,,,,,6,8600000
78,, требует ремонта, 20,, 1, 5 м²,,,,, кирпичный,,, 30.3 м²,,,,,, свободная, 12 из 20,,,, возможна ипотека,, балкон,,,,,1000000,3450000
79, 28 м², евро, 5,, 2, 6.7 м²,, совмещенный,, открытая во дворе, панельный,," детская площадка, спортивная площадка", 45 м²,,, 1964,,, свободная, 5 из 5,,,, возможна ипотека, нет, балкон,,,, изолированные,16,4800000
80, 29.1 м², дизайнерский, 12,, 2, 14.6 м²,, совмещенный,,, кирпичный,,, 57.9 м²,,, 2014,,, свободная, 9 из 12,,, во двор, возможна ипотека, 2, балкон,,,, изолированные,6,10500000
81,,, 19, предчистовая, 1, 12 м²,,,,, монолитный, дом 3,, 40.1 м², ооо спецзастройщик «тси»,,, дду по фз 214,,, 4 из 19, 3 кв. 2023 года,,,,, лоджия,,, жк «мечта»,,31,7640000
82, 28 м², косметический, 5,, 2, 6 м²,, совмещенный,, открытая во дворе, кирпичный,," детская площадка, спортивная площадка", 40 м²,,, 1960,, нет, свободная, 3 из 5,,," во двор, на улицу, на солнечную сторону", возможна ипотека, нет, балкон,, газ,," изолированные, смежные",5,4000000
83, 18.6 м², косметический, 18,, 1, 9.3 м², кухня, совмещенный,, открытая во дворе, монолитно-кирпичный,," детская площадка, спортивная площадка", 38.6 м²,,, 2013,, 1, свободная, 9 из 18,,, на улицу, возможна ипотека, 1, балкон,,,,,31,5250000
84,, косметический, 5,, 1, 5.6 м²,,,,, кирпичный,,, 31.4 м²,,,,,, свободная, 2 из 5,,,, возможна ипотека,,,,,,,1000000,3600000
85, 25.2 м²,, 11, без отделки, 2, 14.1 м²,,,,, кирпичный, дом 6,, 52.3 м², ооо специализированный застройщик «ск «унистройдом»,,, дду по фз 214,,, 7 из 11, 3 кв. 2023 года,,,,, лоджия,,, жк «весна» 2 очередь, изолированные,1000000,8000000
86,, требует ремонта, 4,, студия,,, раздельный,, открытая во дворе, кирпичный,, закрытая территория, 35 м²,,, 1954,,, свободная, 1 из 4,,,, возможна ипотека, 4,,,,,,5,3000000
87,, евро, 18,, 1, 12 м²," кухня, хранение одежды, спальные места", совмещенный,," открытая во дворе, за шлагбаумом во дворе", монолитно-кирпичный,," закрытая территория, детская площадка", 48.6 м²,,, 2013,,, свободная, 9 из 18,,, на улицу, возможна ипотека, 2, балкон," холодильник, стиральная машина",,,,21,6499000
88, 30.3 м², евро, 5,, 2, 5.5 м²," кухня, хранение одежды, спальные места", совмещенный,, открытая во дворе, кирпичный,," детская площадка, спортивная площадка", 44.4 м²,,, 1974,,, свободная, 4 из 5,,," во двор, на улицу", возможна ипотека,, балкон, холодильник,,, изолированные,1000000,4000000
89,, евро, 17,, 2, 14.8 м², кухня, совмещенный,, за шлагбаумом во дворе, монолитно-кирпичный,," детская площадка, спортивная площадка", 47.2 м²,,, 2006,, 1, свободная, 14 из 17,,, на улицу, возможна ипотека, 1, балкон," холодильник, стиральная машина", мусоропровод,, смежные,31,6550000
90, 15 м², евро, 10,, студия,, кухня, совмещенный, 2.6 м, открытая во дворе, кирпичный,," детская площадка, спортивная площадка", 19.5 м²,,, 1978,,, свободная, 2 из 10,,, во двор, возможна ипотека, 1,, кондиционер,,,,5,1800000
91,, евро, 3,, 1, 11.5 м²,,,,, монолитный,,, 45.7 м²,,,,,, свободная, 2 из 3,,,, возможна ипотека,,,,,,,1000000,2985000
92, 39.5 м², косметический, 9,, 3, 7 м²,, раздельный, 2.5 м,, панельный,,, 64.8 м²,,,,,, свободная, 9 из 9,,,,,, балкон,,,, изолированные,5,6700000
93, 19.2 м², евро, 14,, 1, 8.4 м²,, раздельный,,, кирпичный,," детская площадка, спортивная площадка", 40.6 м²,,, 1980,, 1, свободная, 10 из 14,,," на улицу, на солнечную сторону", возможна ипотека, 1, лоджия,,,,,5,5899000
94, 39.4 м²,, 19, предчистовая, 3, 11.7 м²,,,,, монолитный, корпус 1,, 72.1 м², ооо «специализированный застройщик «микрорайон м8»,,, другое,,, 18 из 19, сдан,,,,, балкон,,, жк «нобелевский»,,1000000,12257000
95, 13 м², косметический, 5,, 1, 2 м²," кухня, хранение одежды, спальные места", совмещенный, 2.4 м, открытая во дворе, кирпичный,,, 17.7 м²,,, 1972,, нет, свободная, 4 из 5,,," во двор, на улицу, на солнечную сторону", возможна ипотека, нет,," холодильник, стиральная машина, водонагреватель",,,,21,2900000
96,, косметический, 5,, 2, 6 м²,, совмещенный,,, панельный,,, 45.1 м²,,,,,, свободная, 1 из 5,,,, возможна ипотека,,,,,, смежные,11,4900000
97,, евро, 9,, 1, 3 м²,, совмещенный,,, кирпичный,,, 12 м²,,, 1974,,, свободная, 6 из 9,,,, возможна ипотека,,,, мусоропровод,,,16,2290000
98, 52 м², евро, 14,, 2, 5 м²,, совмещенный,,, кирпичный,," детская площадка, спортивная площадка", 65 м²,,, 2004,,, свободная, 12 из 14,,,,, 1, лоджия,,,," изолированные, смежные",1000000,7989000
99,, евро, 18,, 2, 10 м²," кухня, хранение одежды, спальные места", раздельный,,, кирпичный,,, 62 м²,,, 2018,,, свободная, 8 из 18,,,,,,,,,, изолированные,1000000,6499000
100, 14.1 м², евро, 9,, 1, 9 м², кухня, совмещенный, 3 м, открытая во дворе, панельный,," детская площадка, спортивная площадка", 33.5 м²,,, 2000,, нет, свободная, 4 из 9,,," на улицу, на солнечную сторону", возможна ипотека, 1, балкон," кондиционер, холодильник, стиральная машина", газ,,,16,5900000
101, 17.5 м², косметический, 9,, 1, 6.5 м²," кухня, хранение одежды", раздельный, 2.6 м, открытая во дворе, кирпичный,," детская площадка, спортивная площадка", 36 м²,,, 1989,,, свободная, 5 из 9,,, во двор, возможна ипотека, 1, лоджия,, газ,,,5,5500000
102, 47 м², евро, 5,, 3, 6.1 м²," кухня, хранение одежды", раздельный, 2.6 м, открытая во дворе, кирпичный,, детская площадка, 62.9 м²,,, 1975,, нет, свободная, 3 из 5,,," во двор, на солнечную сторону", возможна ипотека, нет, балкон,, газ,, смежные,31,5500000
103,, евро, 5,, 2, 5.5 м²," кухня, хранение одежды", совмещенный,,, панельный,,, 44.5 м²,,, 1964,,, альтернативная, 5 из 5,,, во двор, возможна ипотека,, балкон,,,, смежные,21,4850000
104, 18 м², косметический, 5,, 1, 4 м²,, совмещенный, 0 м,, кирпичный,,, 25 м²,,, 0,,, альтернативная, 2 из 5,,, во двор,,,,,,,,31,3300000
105, 18 м², требует ремонта, 9,, 1, 8 м²,, совмещенный,, открытая во дворе, панельный,," детская площадка, спортивная площадка", 35 м²,,,,, 1, свободная, 9 из 9,,," во двор, на улицу, на солнечную сторону", возможна ипотека, нет, балкон,, газ,,,1000000,4099000
106,, евро, 10,, 2, 12.7 м²,,,,, монолитный,,, 51.2 м²,,,,,, свободная, 2 из 10,,,, возможна ипотека,, балкон,,,, изолированные,1000000,4689000
107, 13.1 м², евро, 9,, 1, 6.7 м²," кухня, хранение одежды", совмещенный,, открытая во дворе, кирпичный,," детская площадка, спортивная площадка", 28 м²,,, 1989,,, свободная, 2 из 9,,, во двор, возможна ипотека, 1, балкон,, газ,,,6,4200000
108, 21.4 м², дизайнерский, 5,, 1, 6 м², кухня, совмещенный, 2.5 м,, кирпичный,,, 33 м²,,,,,, свободная, 1 из 5,,, на улицу,,,,, газ,,,5,4700000
